Author,Title,
R. C. Penner,Discrete Mathematics: Proof Techniques and Mathematical Structures,
"Valentin Goranko, Willem Conradie",Logic and Discrete Mathematics: A Concise Introduction,
David J. Griffiths,Introduction to Electrodynamics,
"David Halliday, Robert Resnick Jearl Walker , Wiley",Principles of Physics,
Wayne M. Saslow,"Electricity, Magnetism, and Light",
"S. Timoshenko, D.H. Young, J.V. Rao, Sukumar Pati",Engineering Mechanics (In SI Units) (SIE),
"R Takwale, P Puranik",Introduction to Classical Mechanics,
M.K. Harbola,Engineering Mechanics,
"David Kleppner, Robert Kolenkow",An Introduction to Mechanics (SIE),
John L. Synge and Byron A. Griffith,Principles of mechanics,
J. P. Den Hartog,Mechanics (Dover Books on Physics),
"L.G. Kraige J.L. Meriam, Wiley","Engineering Mechanics: Dynamics,",
"Robert Eisberg, Robert Resnick, Wiley","Quantum Physics of Atoms, Molecules, Solids, Nuclei and Particles",
J. Griffiths David,Introduction to Quantum Mechanics,
J. J. Sakurai,Modern Quantum Mechanics,
Hecht,Optics,
Reif,Fundamentals of Statistical and Thermal Physics,
Pathria,Statistical Mechanics,
"L.D.Landau , E.M. Lifshitz, Butterworth-Heinemann",Statistical Physics,
Satyaprakash,Engineering Chemistry,
B.H Mahan,University chemistry,
M. J. Sienko and R. A. Plane,Chemistry: Principles and Applications,
C. N. Banwell,Fundamentals of Molecular Spectroscopy,
"B. L. Tembe, Kamaluddin and M. S. Krishnan",Engineering Chemistry,
P. W. Atkins,Physical Chemistry,
P.S.Kalsi,Spectroscopy of Organic Compounds,
P. C. Rakshit,Physical Chemistry,
K. P. C. Volhardt and N. E. Schore,Organic Chemistry: Structure and Function,
Reena Garg,Engineering Mathematics-I,
Erwin Kreyszig,Advanced Engineering Mathematics,
Michael Greenberg,Advanced Engineering Mathematics,
B.S. Grewa,Higher Engineering Mathematics,
Kanti B. Dutta,Mathematical Methods of Science and Engineering,
Veerarajan T.,Engineering Mathematics for first year,
S.K. Mapa,Higher Algebra: Abstract and Linear,
Hoffman and Kunze,Linear algebra,
Ritu Sahdev,Basic Electrical Engineering,
D. P. Kothari and I. J. Nagrath,Basic Electrical Engineering,
D. C. Kulshreshtha,Basic Electrical Engineering,
L. S. Bobrow,Fundamentals of Electrical Engineering,
E. Hughes,Electrical and Electronics Technology,
E. Hughes,Electrical and Electronics Technology,
V. D. Toro,Electrical Engineering Fundamentals,
Sedra & Smith,Microelectronics Engineering,
A.K. Maini,Analog Electronics,
L.K. Maheswari,Analog Electronics,
B L Thereja & Sedha,Principles of Electronic Devices & circuits,
Kharate,Digital Electronics,
J.Bigmell & R.Donovan,Digital Electronics – Logic & Systems,
D.J.Comer,Digital Logic and State Machine Design (3rd Edition),
Boyelstad & Nashelsky,Electronic Devices & Circuit Theory,
Bell,Linear IC & OP AMP,
P.Raja,Digital Electronics,
Morries Mano,Digital Logic Design,
R.P.Jain,Modern Digital Electronics,
H.Taub & D.Shilling,Digital Integrated Electronics,
D.RayChaudhuri,Digital Circuits-Vol-I & II,
"Tocci, Widmer, Moss",Digital Systems,
J.Bignell & R.Donovan,Digital Electronics,
Leach & Malvino,Digital Principles & Application,
Floyed & Jain,Digital Fundamentals,
"Robert L. Kruse, Bruce P. Leung",Data Structures and Program Design In C,
R.S.Salaria,Data Structures and Algorithms using C,
"Ellis Horowitz, Sartaj Sahni, Susan Anderson",Fundamentals of Data Structures of C,
Aaron M. Tenenbaum,Data Structures in C,
S. Lipschutz,Data Structures,
Reema Thareja,Data Structures Using C,
"A.K. Rath, A. K. Jagadev",Data Structure Using C,
"Thomas H. Cormen, Charles E. Leiserson, Ronald L.Rivest, Clifford Stein",Introduction to Algorithms,
Yashwant Kanetkar,Data Structures through C,
R.B Patel,Expert Data Structures with C++,
"Mano, M.M.",Computer System Architecture,
Behrooz Parhami,Computer Architecture,
Hayes J. P.,Computer Architecture & Organisation,
"N. senthil Kumar, M. Saravanan, S. Jeevananthan",Microprocessors and Microcontrollers,
Chaudhuri P. Pal,Computer Organisation & Design,
P N Basu,Computer Organization & Architecture,
Rajaraman,Computer Organization & Architecture,
B.Ram,Computer Organization & Architecture,
S. K. Mapa,Higher Algebra,
Chakravorty and Ghosh,Advanced Higher Algebra,
S. L. Loney,Co-ordinate Geometry,
Das and Mukherjee,Integral Calculus,
Das and Mukherjee,Differential Calculus,
E Kreyszig,Advanced Engineering Mathematics,
Chandrika Prasad & Reena Garg,Advanced Engineering Mathematics,
"James L.Riggs, David D. Bedworth, Sabah U. Randhawa",Economics for Engineers,
"Donald Newnan, Ted Eschembach, Jerome Lavelle",Engineering Economics Analysis,
"John A. White, Kenneth E. Case, David B. Pratt",Principle of Engineering Economic Analysis,
Sullivan and Wicks,Engineering Economy,
R.Paneer Seelvan,Engineering Economics,
Michael R Lindeburg,Engineering Economics Analysis,
Premvir Kapoor,Sociology & Economics for Engineers,
I.G.Nagrath,Analog Electronics,
Pressman,Software Engineering : A practitioner’s approach,
Pankaj Jalote,Software Engineering,
N.S. Gill,Software Engineering,
Rajib Mall,Software Engineering,
Agarwal and Agarwal,Software Engineering,
Sommerville,Software Engineering,
Martin L. Shooman,Software Engineering,
"Aho, Sethi, Ullman","Compiler Principles, Techniques and Tools",
Holub,Compiler Design in C,
"AviSilberschatz, Peter Galvin, Greg Gagne",Operating System Concepts Essentials,
William Stallings,Operating Systems: Internals and Design Principles,
Ekta Walia,Operating System Concepts,
Charles Crowley,Operating System: A Design-oriented Approach,
"Gary J. Nutt, Addison- Wesley",Operating Systems: A Modern Perspective,
Maurice Bach,Design of the Unix Operating Systems,
"Daniel P. Bovet,Marco Cesati, O'Reilly and Associates",Understanding the Linux Kernel,
"Rambaugh, James Michael, Blaha",Object Oriented Modelling and Design,
Ali Bahrami,Object Oriented System Development,
"Patrick Naughton, Herbert Schildt",The complete reference-Java2,
R.K Das,Core Java For Beginners,
Deitel and Deitel,Java How to Program,
Ivor Horton,Beginning Java 2,
E. Balagurusamy,Programming With Java: A Primer,
L.S. Srinath,CPM & PERT principles and Applications,
Buffa,Modern Production Management,
N. Nair,Materials Management,
O. P. Khanna,Industrial Engineering & Management,
Mikes,Value Analysis,
S.C. Sharma,Engineering Management – Industrial Engineering & Management,
Hopcroft H.E.and Ullman J. D,Introduction to Automata Theory Language and Computation,
R.B Patel,Theory of Computation,
Mishra and Chandra shekaran,Theory of Computer Science,
C.K.Nagpal,Formal Languages and Automata Theory,
ZVI Kohavi,Switching & Finite Automata,
"Daniel I.A. Cohen, John Wiley",Introduction to Computer Theory,
John C Martin,Introduction to languages and the Theory of Computation,
Lewis H.P. & Papadimitrou,Elements of Theory of Computation,
Kai Hwang and A. .Brigggs,Computer Architecture and Parallel Processing,
"D. Sima, T. fountain, P. Kacsuk",Advanced Computer Architecture,
"D. Culler, J.P.Singh, A.Gupta",Parallel Computer Architecture,
"Hearn, Baker",Computer Graphics,
"Z. Xiang, R. Plastock",Schaum’s outlines Computer Graphics,
"D. F. Rogers, J. A. Adams",Mathematical Elements for Computer Graphics,
Ritch & Knight,Artificial Intelligence,
Stuart Russel Peter Norvig,Artificial Intelligence A Modern Approach,
Patterson,Introduction to Artificial Intelligence & Expert Systems,
Poole,Computational Intelligence,
Saroj Kaushik,Logic & Prolog Programming,
Giarranto,Expert Systems,
M.C. Trivedi,Artificial Intelligence,
